hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	meta_cluster
6h	PK-15	LT934125.1	+	169	44800	44835	44812	36	2404	60
6h	PK-15	LT934125.1	+	202	48547	48631	48567	85	2635	60
6h	PK-15	LT934125.1	+	222	51230	51310	51235	81	977	60
6h	PK-15	LT934125.1	+	235	52412	52467	52460	56	1077	60
6h	PK-15	LT934125.1	+	236	52482	52562	52484	81	69	60
6h	PK-15	LT934125.1	+	248	53640	53723	53648	84	382	60
6h	PK-15	LT934125.1	+	276	59005	59058	59044	54	363	60
6h	PK-15	LT934125.1	+	277	59064	59141	59068	78	838	60
6h	PK-15	LT934125.1	+	289	60232	60263	60234	32	149	60
6h	PK-15	LT934125.1	+	313	65740	65826	65807	87	72	60
6h	PK-15	LT934125.1	+	315	66335	66425	66338	91	256	60
6h	PK-15	LT934125.1	+	336	69212	69249	69237	38	168	60
6h	PK-15	LT934125.1	+	345	70061	70105	70090	45	101	60
6h	PK-15	LT934125.1	+	350	70484	70571	70531	88	3435	60
6h	PK-15	LT934125.1	+	366	72724	72818	72759	95	64	60
6h	PK-15	LT934125.1	+	375	74381	74456	74402	76	2051	60
6h	PK-15	LT934125.1	+	391	76677	76757	76683	81	106	60
6h	PK-15	LT934125.1	+	399	78035	78127	78044	93	77	60
6h	PK-15	LT934125.1	+	411	79425	79482	79444	58	2370	60
6h	PK-15	LT934125.1	+	467	91358	91452	91409	95	193	60
6h	PK-15	LT934125.1	+	516	107419	107465	107432	47	128	60
6h	PK-15	LT934125.1	+	517	107472	107524	107482	53	340	60
6h	PK-15	LT934125.1	+	547	114978	115034	114985	57	10224	60
6h	PK-15	LT934125.1	+	555	115814	115894	115815	81	90	60
6h	PK-15	LT934125.1	+	558	116006	116072	116016	67	69	60
6h	PK-15	LT934125.1	+	562	116258	116334	116283	77	84	60
6h	PK-15	LT934125.1	+	563	116340	116399	116376	60	64	60
6h	PK-15	LT934125.1	+	564	116402	116487	116403	86	118	60
6h	PK-15	LT934125.1	+	565	116493	116564	116552	72	73	60
6h	PK-15	LT934125.1	+	566	116580	116643	116622	64	62	60
6h	PK-15	LT934125.1	+	569	116759	116817	116791	59	89	60
6h	PK-15	LT934125.1	+	573	117769	117835	117769	67	102	60
6h	PK-15	LT934125.1	+	581	118832	118882	118864	51	6303	60
6h	PK-15	LT934125.1	+	595	119935	120006	119941	72	66	60
6h	PK-15	LT934125.1	+	597	120081	120164	120081	84	70	60
6h	PK-15	LT934125.1	+	601	120555	120632	120555	78	105	60
6h	PK-15	LT934125.1	+	611	121778	121839	121784	62	1474	60
6h	PK-15	LT934125.1	+	625	122960	122990	122979	31	618	60
6h	PK-15	LT934125.1	+	644	124736	124805	124756	70	911	60
6h	PK-15	LT934125.1	+	649	125177	125241	125225	65	1758	60
6h	PK-15	LT934125.1	+	664	128057	128128	128073	72	92	60
6h	PK-15	LT934125.1	+	665	128182	128258	128189	77	68	60
6h	PK-15	LT934125.1	+	683	136153	136225	136158	73	155	60
6h	PK-15	LT934125.1	+	685	136333	136385	136348	53	240	60
6h	PK-15	LT934125.1	-	15	3877	3913	3910	37	142	48
6h	PK-15	LT934125.1	-	40	9454	9499	9494	46	371	48
6h	PK-15	LT934125.1	-	66	17315	17376	17341	62	82	48
6h	PK-15	LT934125.1	-	88	19434	19524	19471	91	429	48
6h	PK-15	LT934125.1	-	97	21917	21969	21941	53	63	48
6h	PK-15	LT934125.1	-	121	25225	25316	25313	92	102	48
6h	PK-15	LT934125.1	-	136	29338	29420	29411	83	3174	48
6h	PK-15	LT934125.1	-	169	34436	34484	34474	49	71	48
6h	PK-15	LT934125.1	-	209	44877	44893	44889	17	109	48
6h	PK-15	LT934125.1	-	226	51048	51103	51094	56	80	48
6h	PK-15	LT934125.1	-	227	51118	51184	51147	67	834	48
6h	PK-15	LT934125.1	-	241	55361	55389	55378	29	68	48
6h	PK-15	LT934125.1	-	245	55652	55737	55679	86	88	48
6h	PK-15	LT934125.1	-	251	56111	56198	56188	88	3653	48
6h	PK-15	LT934125.1	-	258	56936	56996	56946	61	354	48
6h	PK-15	LT934125.1	-	270	58529	58579	58570	51	67	48
6h	PK-15	LT934125.1	-	274	59272	59281	59277	10	93	48
6h	PK-15	LT934125.1	-	283	63338	63438	63420	101	34196	48
6h	PK-15	LT934125.1	-	301	65661	65753	65752	93	257	48
6h	PK-15	LT934125.1	-	361	81728	81821	81804	94	949	48
6h	PK-15	LT934125.1	-	362	81828	81917	81897	90	95	48
6h	PK-15	LT934125.1	-	381	87088	87162	87161	75	133	48
6h	PK-15	LT934125.1	-	409	92909	92975	92933	67	1047	48
6h	PK-15	LT934125.1	-	416	93600	93657	93654	58	197	48
6h	PK-15	LT934125.1	-	423	94457	94529	94526	73	79	48
6h	PK-15	LT934125.1	-	427	94908	95006	94947	99	300	48
6h	PK-15	LT934125.1	-	447	97317	97368	97361	52	999	48
6h	PK-15	LT934125.1	-	498	107332	107384	107369	53	240	48
6h	PK-15	LT934125.1	-	500	107492	107564	107559	73	154	48
6h	PK-15	LT934125.1	-	518	115459	115535	115528	77	68	48
6h	PK-15	LT934125.1	-	520	115629	115710	115634	82	92	48
6h	PK-15	LT934125.1	-	558	126900	126974	126926	75	109	48
6h	PK-15	LT934125.1	-	559	126980	127077	127002	98	95	48
6h	PK-15	LT934125.1	-	561	127153	127224	127165	72	73	48
6h	PK-15	LT934125.1	-	562	127230	127327	127314	98	127	48
6h	PK-15	LT934125.1	-	563	127330	127401	127341	72	69	48
6h	PK-15	LT934125.1	-	564	127411	127459	127434	49	70	48
6h	PK-15	LT934125.1	-	568	127645	127711	127645	67	69	48
6h	PK-15	LT934125.1	-	571	127823	127903	127902	81	90	48
6h	PK-15	LT934125.1	-	580	128683	128739	128732	57	10237	48
6h	PK-15	LT934125.1	-	610	136193	136262	136235	70	345	48
6h	PK-15	LT934125.1	-	611	136267	136360	136285	94	173	48
8h	PK-15	LT934125.1	-	17	3877	3912	3910	36	186	48
8h	PK-15	LT934125.1	-	49	9455	9505	9494	51	521	48
8h	PK-15	LT934125.1	-	81	17273	17348	17341	76	156	48
8h	PK-15	LT934125.1	-	105	19435	19484	19471	50	2161	48
8h	PK-15	LT934125.1	-	148	25273	25325	25313	53	301	48
8h	PK-15	LT934125.1	-	171	29366	29422	29411	57	7350	48
8h	PK-15	LT934125.1	-	241	41918	41997	41995	80	134	48
8h	PK-15	LT934125.1	-	265	44849	44947	44889	99	278	48
8h	PK-15	LT934125.1	-	291	51085	51151	51147	67	1470	48
8h	PK-15	LT934125.1	-	326	56149	56241	56188	93	8239	48
8h	PK-15	LT934125.1	-	334	56906	56981	56946	76	956	48
8h	PK-15	LT934125.1	-	346	58542	58575	58570	34	177	48
8h	PK-15	LT934125.1	-	352	59246	59281	59277	36	174	48
8h	PK-15	LT934125.1	-	370	63294	63371	63365	78	125	48
8h	PK-15	LT934125.1	-	371	63374	63438	63420	65	55069	48
8h	PK-15	LT934125.1	-	395	65679	65753	65752	75	390	48
8h	PK-15	LT934125.1	-	459	80811	80895	80825	85	115	48
8h	PK-15	LT934125.1	-	471	81788	81842	81804	55	3717	48
8h	PK-15	LT934125.1	-	499	87155	87215	87161	61	365	48
8h	PK-15	LT934125.1	-	535	92925	93004	92933	80	2616	48
8h	PK-15	LT934125.1	-	543	93641	93657	93654	17	282	48
8h	PK-15	LT934125.1	-	551	94509	94578	94526	70	148	48
8h	PK-15	LT934125.1	-	555	94896	94950	94947	55	701	48
8h	PK-15	LT934125.1	-	577	97280	97368	97361	89	1412	48
8h	PK-15	LT934125.1	-	641	107321	107403	107369	83	293	48
8h	PK-15	LT934125.1	-	643	107516	107564	107559	49	413	48
8h	PK-15	LT934125.1	-	682	115590	115660	115638	71	129	48
8h	PK-15	LT934125.1	-	745	126936	127017	126958	82	245	48
8h	PK-15	LT934125.1	-	749	127242	127341	127288	100	209	48
8h	PK-15	LT934125.1	-	756	127854	127924	127902	71	115	48
8h	PK-15	LT934125.1	-	765	128655	128744	128732	90	12981	48
8h	PK-15	LT934125.1	-	803	136183	136247	136235	65	633	48
8h	PK-15	LT934125.1	-	804	136255	136328	136295	74	253	48
8h	PK-15	LT934125.1	+	3	978	1028	990	51	267	60
8h	PK-15	LT934125.1	+	6	1292	1376	1337	85	367	60
8h	PK-15	LT934125.1	+	9	1542	1616	1600	75	364	60
8h	PK-15	LT934125.1	+	28	7567	7614	7588	48	674	60
8h	PK-15	LT934125.1	+	40	9098	9176	9113	79	829	60
8h	PK-15	LT934125.1	+	42	9254	9325	9270	72	2629	60
8h	PK-15	LT934125.1	+	46	9640	9727	9646	88	1572	60
8h	PK-15	LT934125.1	+	56	10430	10437	10431	8	322	60
8h	PK-15	LT934125.1	+	67	11788	11846	11793	59	139	60
8h	PK-15	LT934125.1	+	89	13992	14056	14048	65	1962	60
8h	PK-15	LT934125.1	+	174	31042	31124	31098	83	2476	60
8h	PK-15	LT934125.1	+	186	32005	32085	32038	81	14574	60
8h	PK-15	LT934125.1	+	187	32089	32145	32091	57	146	60
8h	PK-15	LT934125.1	+	188	32152	32219	32173	68	151	60
8h	PK-15	LT934125.1	+	226	44807	44903	44812	97	3317	60
8h	PK-15	LT934125.1	+	238	46005	46040	46023	36	144	60
8h	PK-15	LT934125.1	+	266	48547	48633	48567	87	4151	60
8h	PK-15	LT934125.1	+	288	51193	51269	51235	77	1757	60
8h	PK-15	LT934125.1	+	305	52432	52497	52460	66	2547	60
8h	PK-15	LT934125.1	+	319	53606	53669	53648	64	1849	60
8h	PK-15	LT934125.1	+	340	55303	55358	55352	56	170	60
8h	PK-15	LT934125.1	+	356	59011	59076	59068	66	1629	60
8h	PK-15	LT934125.1	+	370	60231	60262	60234	32	382	60
8h	PK-15	LT934125.1	+	400	65775	65856	65807	82	149	60
8h	PK-15	LT934125.1	+	403	66298	66357	66338	60	985	60
8h	PK-15	LT934125.1	+	438	69191	69273	69244	83	256	60
8h	PK-15	LT934125.1	+	450	70089	70167	70090	79	168	60
8h	PK-15	LT934125.1	+	456	70525	70624	70531	100	6231	60
8h	PK-15	LT934125.1	+	471	72758	72791	72759	34	150	60
8h	PK-15	LT934125.1	+	484	74375	74466	74402	92	2637	60
8h	PK-15	LT934125.1	+	500	76675	76772	76683	98	160	60
8h	PK-15	LT934125.1	+	509	78035	78062	78044	28	122	60
8h	PK-15	LT934125.1	+	524	79437	79494	79444	58	5467	60
8h	PK-15	LT934125.1	+	595	91392	91448	91412	57	268	60
8h	PK-15	LT934125.1	+	679	107412	107462	107422	51	206	60
8h	PK-15	LT934125.1	+	680	107470	107534	107482	65	632	60
8h	PK-15	LT934125.1	+	717	114973	115062	114985	90	12984	60
8h	PK-15	LT934125.1	+	725	115793	115863	115815	71	115	60
8h	PK-15	LT934125.1	+	733	116376	116475	116429	100	208	60
8h	PK-15	LT934125.1	+	736	116634	116720	116715	87	178	60
8h	PK-15	LT934125.1	+	737	116724	116810	116791	87	240	60
8h	PK-15	LT934125.1	+	744	117768	117845	117769	78	358	60
8h	PK-15	LT934125.1	+	754	118786	118883	118864	98	18671	60
8h	PK-15	LT934125.1	+	769	119933	120007	119941	75	172	60
8h	PK-15	LT934125.1	+	776	120554	120620	120555	67	374	60
8h	PK-15	LT934125.1	+	787	121780	121820	121784	41	3458	60
8h	PK-15	LT934125.1	+	800	122903	122994	122979	92	1707	60
8h	PK-15	LT934125.1	+	819	124709	124800	124756	92	2374	60
8h	PK-15	LT934125.1	+	825	125217	125299	125225	83	3108	60
8h	PK-15	LT934125.1	+	847	127996	128074	128051	79	120	60
8h	PK-15	LT934125.1	+	886	136111	136184	136158	74	411	60
8h	PK-15	LT934125.1	+	888	136314	136396	136348	83	294	60
	PK-15	LT934125.1	-	15	63366	63400	63366	35	5	48
	PK-15	LT934125.1	-	20	125220	125222	125222	3	10	48
